id,slug,name,startTime,endTime,signupDeadline,medium,website,tagline,city,prize,prizeCount,totalTeamCount,awardedTeamCount,finalistTeamCount,sponsorCount
221,unite,Unite Defi,2025-07-25T16:00:00.000Z,2025-08-08T00:00:00.000Z,2025-07-28T18:00:00.000Z,virtual,null,Think beyond limits: shape boundless Web3,null,280500,102,391,42,7,4
169,cannes,ETHGlobal Cannes,2025-07-04T00:00:00.000Z,2025-07-06T00:00:00.000Z,2025-07-03T07:00:00.000Z,physical,null,null,"Cannes, FR",272250.1200000002,106,333,137,10,28
168,prague,ETHGlobal Prague,2025-05-30T00:00:00.000Z,2025-06-01T00:00:00.000Z,2025-05-29T13:00:00.000Z,physical,null,null,"Prague, CZ",164999.90000000002,67,217,124,10,14
167,taipei,ETHGlobal Taipei,2025-04-04T00:00:00.000Z,2025-04-06T00:00:00.000Z,2025-04-03T01:00:00.000Z,physical,null,null,"Taipei, TW",193999.80000000002,80,226,129,8,18
223,trifecta,ETHGlobal Trifecta,2025-03-20T00:00:00.000Z,2025-03-26T00:00:00.000Z,2025-03-21T01:00:00.000Z,virtual,null,ETHGlobal's First Competition,null,15000,47,117,6,6,15
212,agents,Agentic Ethereum,2025-01-31T00:00:00.000Z,2025-02-14T00:00:00.000Z,2025-01-28T04:59:00.000Z,virtual,null,null,null,167701.11999999962,76,517,304,10,18
138,bangkok,ETHGlobal Bangkok,2024-11-15T00:00:00.000Z,2024-11-17T00:00:00.000Z,2024-10-30T16:59:00.000Z,physical,null,null,"Bangkok, TH",755500.0099999963,302,713,461,10,69
136,sanfrancisco2024,ETHGlobal San Francisco,2024-10-18T00:00:00.000Z,2024-10-20T00:00:00.000Z,2024-10-02T06:59:00.000Z,physical,null,null,"San Francisco, US",354650,134,225,104,10,37
135,singapore2024,ETHGlobal Singapore,2024-09-20T00:00:00.000Z,2024-09-22T00:00:00.000Z,2024-09-01T15:59:00.000Z,physical,null,null,"Singapore, SG",320000.0000000001,135,309,144,10,31
142,ethonline2024,ETHOnline 2024,2024-08-23T00:00:00.000Z,2024-09-13T00:00:00.000Z,2024-08-22T03:59:00.000Z,virtual,null,null,null,208350.13000000006,91,417,161,8,23
146,superhack2024,Superhack 2024,2024-08-02T00:00:00.000Z,2024-08-16T00:00:00.000Z,2024-08-01T03:59:00.000Z,virtual,null,null,null,184499.41999999995,82,291,163,8,18
129,brussels,ETHGlobal Brussels,2024-07-12T00:00:00.000Z,2024-07-14T00:00:00.000Z,2024-07-01T21:59:00.000Z,physical,null,null,"Brussels, BE",463712.41000000056,197,353,204,10,44
145,starkhack,StarkHack,2024-06-13T00:00:00.000Z,2024-06-26T00:00:00.000Z,2024-06-12T03:59:00.000Z,virtual,null,null,null,100166.73000000001,29,152,68,7,9
143,hackfs2024,HackFS 2024,2024-05-17T00:00:00.000Z,2024-06-07T00:00:00.000Z,2024-05-20T03:59:00.000Z,virtual,null,null,null,124999.94000000006,65,157,77,7,16
134,sydney,ETHGlobal Sydney,2024-05-03T00:00:00.000Z,2024-05-05T00:00:00.000Z,2024-05-03T13:59:00.000Z,physical,null,null,"Sydney, AU",94600.06000000003,47,66,41,8,11
141,scaling2024,Scaling Ethereum 2024,2024-04-05T00:00:00.000Z,2024-04-26T00:00:00.000Z,2024-04-03T15:59:00.000Z,virtual,null,null,null,114499.95999999989,67,198,109,8,12
140,frameworks,Frameworks,2024-03-22T00:00:00.000Z,2024-03-24T00:00:00.000Z,2024-03-22T03:59:00.000Z,virtual,null,null,null,82669.01,40,209,108,10,13
98,london2024,ETHGlobal London,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-01T23:59:00.000Z,physical,null,null,"London, GB",270180.47000000015,135,239,154,10,26
77,circuitbreaker,Circuit Breaker,2024-02-02T00:00:00.000Z,2024-02-21T00:00:00.000Z,2024-02-01T04:59:00.000Z,virtual,null,null,null,50500.01,26,109,23,7,6
64,lfgho,LFGHO,2024-01-12T00:00:00.000Z,2024-01-24T00:00:00.000Z,2023-04-20T03:59:02.280Z,virtual,null,null,null,85000.33,19,254,78,10,3
94,ethindia2023,ETHIndia 2023,2023-12-08T00:00:00.000Z,2023-12-10T00:00:00.000Z,2023-11-16T07:59:00.000Z,physical,https://ethindia.co,null,"Bengaluru, IN",278799.43,112,480,227,13,26
56,istanbul,ETHGlobal Istanbul,2023-11-17T06:00:12.482Z,2023-11-19T15:00:00.000Z,2023-11-01T20:59:00.000Z,physical,null,null,"Istanbul, TR",573900.6599999999,223,428,293,10,50
54,ethonline2023,ETHOnline 2023,2023-10-06T13:00:31.675Z,2023-10-27T22:00:41.424Z,2023-10-05T03:59:03.706Z,virtual,null,null,null,218600.1200000004,107,515,301,11,24
59,newyork2023,ETHGlobal New York,2023-09-22T13:00:00.000Z,2023-09-24T22:00:00.000Z,2023-09-05T03:59:00.000Z,physical,null,null,"New York City, US",460998.95000000007,204,303,188,13,45
79,superhack,Superhack,2023-08-04T19:00:00.000Z,2023-08-18T00:00:00.000Z,2023-08-04T03:59:00.000Z,virtual,null,null,null,168999.6800000002,61,295,146,10,12
57,paris2023,ETHGlobal Paris,2023-07-21T07:00:47.405Z,2023-07-23T16:00:00.000Z,2023-07-07T21:59:00.000Z,physical,null,null,"Paris, FR",446548.6499999997,175,320,203,13,38
58,waterloo2023,ETHGlobal Waterloo,2023-06-23T13:00:48.778Z,2023-06-25T22:00:00.000Z,2023-06-21T03:59:00.000Z,physical,null,null,"Waterloo, CA",226703,103,167,97,11,25
