id,slug,name,startTime,endTime,signupDeadline,medium,website,tagline,city,prize,prizeCount,awardedTeamCount,finalistTeamCount,sponsorCount
169,cannes,ETHGlobal Cannes,2025-07-04T00:00:00.000Z,2025-07-06T00:00:00.000Z,2025-07-03T07:00:00.000Z,physical,null,null,"Cannes, FR",255000,96,156,0,1
168,prague,ETHGlobal Prague,2025-05-30T00:00:00.000Z,2025-06-01T00:00:00.000Z,2025-05-29T13:00:00.000Z,physical,null,null,"Prague, CZ",140001,57,152,0,1
167,taipei,ETHGlobal Taipei,2025-04-04T00:00:00.000Z,2025-04-06T00:00:00.000Z,2025-04-03T01:00:00.000Z,physical,null,null,"Taipei, TW",175000,72,162,0,1
223,trifecta,ETHGlobal Trifecta,2025-03-20T00:00:00.000Z,2025-03-26T00:00:00.000Z,2025-03-21T01:00:00.000Z,virtual,null,ETHGlobal's First Competition,null,90500,41,48,0,1
212,agents,Agentic Ethereum,2025-01-31T00:00:00.000Z,2025-02-14T00:00:00.000Z,2025-01-28T04:59:00.000Z,virtual,null,null,null,158000,66,368,0,1
138,bangkok,ETHGlobal Bangkok,2024-11-15T00:00:00.000Z,2024-11-17T00:00:00.000Z,2024-10-30T16:59:00.000Z,physical,null,null,"Bangkok, TH",768000,292,820,0,1
136,sanfrancisco2024,ETHGlobal San Francisco,2024-10-18T00:00:00.000Z,2024-10-20T00:00:00.000Z,2024-10-02T06:59:00.000Z,physical,null,null,"San Francisco, US",389350,124,193,0,1
135,singapore2024,ETHGlobal Singapore,2024-09-20T00:00:00.000Z,2024-09-22T00:00:00.000Z,2024-09-01T15:59:00.000Z,physical,null,null,"Singapore, SG",317500,125,204,0,1
142,ethonline2024,ETHOnline 2024,2024-08-23T00:00:00.000Z,2024-09-13T00:00:00.000Z,2024-08-22T03:59:00.000Z,virtual,null,null,null,201000,83,209,0,1
146,superhack2024,Superhack 2024,2024-08-02T00:00:00.000Z,2024-08-16T00:00:00.000Z,2024-08-01T03:59:00.000Z,virtual,null,null,null,170000,74,270,0,1
129,brussels,ETHGlobal Brussels,2024-07-12T00:00:00.000Z,2024-07-14T00:00:00.000Z,2024-07-01T21:59:00.000Z,physical,null,null,"Brussels, BE",472713,187,343,0,1
145,starkhack,StarkHack,2024-06-13T00:00:00.000Z,2024-06-26T00:00:00.000Z,2024-06-12T03:59:00.000Z,virtual,null,null,null,81000,22,101,0,1
143,hackfs2024,HackFS 2024,2024-05-17T00:00:00.000Z,2024-06-07T00:00:00.000Z,2024-05-20T03:59:00.000Z,virtual,null,null,null,132500,58,130,0,1
134,sydney,ETHGlobal Sydney,2024-05-03T00:00:00.000Z,2024-05-05T00:00:00.000Z,2024-05-03T13:59:00.000Z,physical,null,null,"Sydney, AU",79500,39,68,0,1
